paper_id,pmid,pmcid,doi,year,journal,title,topic,fulltext_status,pdf_path
PMID:28101605,28101605,,10.1007/s00134-017-4683-6,2017,Intensive Care Med,Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016.,sepsis_diagnosis_criteria,abstract_only,
PMID:26903338,26903338,,10.1001/jama.2016.0287,2016,JAMA,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).,sepsis_diagnosis_criteria,abstract_only,
PMID:23353941,23353941,,10.1097/CCM.0b013e31827e83af,2013,Crit Care Med,Surviving sepsis campaign: international guidelines for management of severe sepsis and septic shock: 2012.,sepsis_diagnosis_criteria,abstract_only,
PMID:12186604,12186604,,10.1001/jama.288.7.862,2002,JAMA,Effect of treatment with low doses of hydrocortisone and fludrocortisone on mortality in patients with septic shock.,sepsis_diagnosis_criteria,abstract_only,
PMID:38310918,38310918,,10.1016/S2213-2600(23)00430-7,2024,Lancet Respir Med,Hydrocortisone plus fludrocortisone for community acquired pneumonia-related septic shock: a subgroup analysis of the APROCCHSS phase 3 randomised trial.,sepsis_diagnosis_criteria,abstract_only,
PMID:28098591,28098591,,10.1097/CCM.0000000000002255,2017,Crit Care Med,Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016.,sepsis_diagnosis_criteria,abstract_only,
PMID:17410344,17410344,,10.1007/s00134-007-0622-2,2007,Intensive Care Med,Sepsis-associated delirium.,sepsis_diagnosis_criteria,abstract_only,
PMID:23361625,23361625,,10.1007/s00134-012-2769-8,2013,Intensive Care Med,"Surviving Sepsis Campaign: international guidelines for management of severe sepsis and septic shock, 2012.",sepsis_diagnosis_criteria,abstract_only,
PMID:28938253,28938253,,10.1097/CCM.0000000000002737,2017,Crit Care Med,Guidelines for the Diagnosis and Management of Critical Illness-Related Corticosteroid Insufficiency (CIRCI) in Critically Ill Patients (Part I): Society of Critical Care Medicine (SCCM) and European Society of Intensive Care Medicine (ESICM) 2017.,sepsis_diagnosis_criteria,abstract_only,
PMID:39254734,39254734,,10.1007/s00134-024-07611-4,2024,Intensive Care Med,"Complement system activation: bridging physiology, pathophysiology, and therapy.",sepsis_diagnosis_criteria,abstract_only,
PMID:28101605,28101605,,10.1007/s00134-017-4683-6,2017,Intensive Care Med,Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016.,sepsis_treatment_plan,abstract_only,
PMID:38240492,38240492,,10.1097/CCM.0000000000006172,2024,Crit Care Med,"2024 Focused Update: Guidelines on Use of Corticosteroids in Sepsis, Acute Respiratory Distress Syndrome, and Community-Acquired Pneumonia.",sepsis_treatment_plan,abstract_only,
PMID:26903338,26903338,,10.1001/jama.2016.0287,2016,JAMA,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3).,sepsis_treatment_plan,abstract_only,
PMID:23353941,23353941,,10.1097/CCM.0b013e31827e83af,2013,Crit Care Med,Surviving sepsis campaign: international guidelines for management of severe sepsis and septic shock: 2012.,sepsis_treatment_plan,abstract_only,
PMID:28098591,28098591,,10.1097/CCM.0000000000002255,2017,Crit Care Med,Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016.,sepsis_treatment_plan,abstract_only,
PMID:23361625,23361625,,10.1007/s00134-012-2769-8,2013,Intensive Care Med,"Surviving Sepsis Campaign: international guidelines for management of severe sepsis and septic shock, 2012.",sepsis_treatment_plan,abstract_only,
PMID:12186604,12186604,,10.1001/jama.288.7.862,2002,JAMA,Effect of treatment with low doses of hydrocortisone and fludrocortisone on mortality in patients with septic shock.,sepsis_treatment_plan,abstract_only,
PMID:34910228,34910228,,10.1007/s00134-021-06595-9,2022,Intensive Care Med,Current practice and evolving concepts in septic shock resuscitation.,sepsis_treatment_plan,abstract_only,
PMID:28938253,28938253,,10.1097/CCM.0000000000002737,2017,Crit Care Med,Guidelines for the Diagnosis and Management of Critical Illness-Related Corticosteroid Insufficiency (CIRCI) in Critically Ill Patients (Part I): Society of Critical Care Medicine (SCCM) and European Society of Intensive Care Medicine (ESICM) 2017.,sepsis_treatment_plan,abstract_only,
PMID:38310918,38310918,,10.1016/S2213-2600(23)00430-7,2024,Lancet Respir Med,Hydrocortisone plus fludrocortisone for community acquired pneumonia-related septic shock: a subgroup analysis of the APROCCHSS phase 3 randomised trial.,sepsis_treatment_plan,abstract_only,
PMID:38240492,38240492,,10.1097/CCM.0000000000006172,2024,Crit Care Med,"2024 Focused Update: Guidelines on Use of Corticosteroids in Sepsis, Acute Respiratory Distress Syndrome, and Community-Acquired Pneumonia.",steroid_sensitivity,abstract_only,
PMID:29490185,29490185,,10.1056/NEJMoa1705716,2018,N Engl J Med,Hydrocortisone plus Fludrocortisone for Adults with Septic Shock.,steroid_sensitivity,abstract_only,
PMID:12186604,12186604,,10.1001/jama.288.7.862,2002,JAMA,Effect of treatment with low doses of hydrocortisone and fludrocortisone on mortality in patients with septic shock.,steroid_sensitivity,abstract_only,
PMID:18184957,18184957,,10.1056/NEJMoa071366,2008,N Engl J Med,Hydrocortisone therapy for patients with septic shock.,steroid_sensitivity,abstract_only,
PMID:38250247,38250247,,10.1097/CCE.0000000000001000,2024,Crit Care Explor,"Corticosteroids in Sepsis and Septic Shock: A Systematic Review, Pairwise, and Dose-Response Meta-Analysis.",steroid_sensitivity,abstract_only,
PMID:15639681,15639681,,10.1016/S0140-6736(04)17667-8,2005,Lancet,Septic shock.,steroid_sensitivity,abstract_only,
PMID:16288183,16288183,,,2005,Minerva Anestesiol,Glucocorticoids and sepsis.,steroid_sensitivity,abstract_only,
PMID:41180093,41180093,,10.1016/j.jointm.2025.08.006,2025,J Intensive Med,Corticosteroids in sepsis.,steroid_sensitivity,abstract_only,
PMID:11445745,11445745,,10.1097/00003246-200107001-00036,2001,Crit Care Med,Corticosteroids for septic shock.,steroid_sensitivity,abstract_only,
PMID:30105022,30105022,,10.3389/fimmu.2018.01736,2018,Front Immunol,Immune Effects of Corticosteroids in Sepsis.,steroid_sensitivity,abstract_only,
